Response Received Date,Overall Experience,Person Identifier,,What Issues,"Incorrect, Duplicate, and/or Missing Items?",Damaged Items?,Haven't Received Package?,Order Delivered Late?,Other Issue?,What could we improve,What was great,Additional Comments,Any Issues,Arrival Time,Tracking,Campaign,Survey Details
12/30/2022 11:10,Very Satisfied,71818727_2022_04_y,,,,,,,,,My class order always arrived on time. I also appreciated the fact that Scholastics let me know deadlines of when to order in December since you did not know our last day of school. Everything was delivered on time. Thank you.,I love that the selections available meet our Accelerated Reader ZPD ranges. Thank you!,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828205447_3827
12/30/2022 10:15,Somewhat Dissatisfied,71829252_2022_04_y,,I have not received a package.,,,Haven't Received Package,,,"I still haven’t received my order from December 13, 2022",,,Yes,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828143026_505
12/30/2022 10:09,Very Satisfied,71874446_2022_03_i,,,,,,,,,dependable delivery - great selection,the tracking link didn't update,No,Yes,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828346491_13252
12/30/2022 10:02,Very Satisfied,71837396_2022_04_k,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,,"It was nice to know that when I order the books will be coming in about a week, even with the holidays.",It is nice you send an alternative item if one is not in stock at the time.,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828427947_18359
12/30/2022 8:41,Very Satisfied,71832639_2022_04_j,,,,,,,,,easy to order and fast delivery,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828447023_19384
12/30/2022 8:30,Satisfied,71824154_2022_04_j,,,,,,,,I usually struggle trying to order books online. The different steps from beginning to end I find are not user friendly.,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828411248_17002
12/30/2022 6:07,Somewhat Dissatisfied,71824626_2022_01_6,,,,,,,,Nothing Scholastic could have done. The box of books was lost in the mail.,,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828291267_9941
12/30/2022 6:01,Neutral,71844959_2022_04_m,,,,,,,,"Not your fault for delay-weather impacted delivery  On a different note, very disappointed you got rid of of all your value packs (25 books for $25,), books have gotten so expensive if ordering for a class.",,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828476769_21488
12/30/2022 1:31,Very Satisfied,71816534_2022_04_x,,,,,,,,,Easy process,No great experience,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828279371_9050
12/30/2022 1:01,Very Satisfied,71835531_2022_08_1,,,,,,,,,The order was a quick turn around and it took care of Christmas gifts to students and some family members.,Very good,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828267104_8199
12/29/2022 23:35,Very Satisfied,71830259_2022_04_k,,,,,,,,,timing before our winter break,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828250589_7180
12/29/2022 19:15,Very Satisfied,71826510_2022_04_k,,,,,,,,,"Your customer service people are always amazing. No matter what the situation, they respond with grace and courtesy and try to resolve the situation. I have never been on hold for more than a minute or two, regardless of what time I call. Thank you!",,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828459447_20213
12/29/2022 18:39,Satisfied,71822252_2022_04_t,,My items are damaged.,,Damaged Items,,,,The box was damaged and a couple books inside.,,,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828355506_13783
12/29/2022 18:38,Very Satisfied,71824280_2022_04_k,,,,,,,,,"Fast shipping, competitive pricing",,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828496063_22754
12/29/2022 18:25,Very Satisfied,300133181_2022_01_o,,,,,,,,,Speed and ease of ordering.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828162099_1357
12/29/2022 18:17,Satisfied,71877535_2022_04_k,,,,,,,,,,,No,No,No,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828495963_22708
12/29/2022 18:03,Satisfied,71856800_2022_04_j,,,,,,,,"December book orders need to come earlier, they end up coming too close to winter break, sometimes I can't get them to families in time.",,,No,No,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828255421_7288
12/29/2022 17:04,Very Dissatisfied,71891943_2022_04_j,,,,,,,,You did great!,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828357648_13875
12/29/2022 16:57,Somewhat Dissatisfied,300133088_2022_03_9,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,"We did not receive 2 books that should have been in our order. These were not on back order, so I had to call to request the items be sent.",,,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828435770_18540
12/29/2022 16:41,Neutral,71847905_2022_03_y,,,,,,,,The change your address directions are very confusing and then can’t be undone when the order is placed,,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828143234_737
12/29/2022 16:24,Satisfied,71830127_2022_08_1,,One book was damaged or not glued properly.,,Damaged Items,,,,,,,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828248133_6730
12/29/2022 16:21,Very Satisfied,71838658_2022_03_s,,,,,,,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828239091_6334
12/29/2022 16:19,Satisfied,71837657_2022_08_1,,,,,,,,speed of teacher order delivery,,,No,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828390433_16056
12/29/2022 15:15,Very Satisfied,71846631_2022_04_y,,,,,,,,,Easy process and quick delivery.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828238886_6276
12/29/2022 15:02,Satisfied,71844481_2022_04_x,,,,,,,,Ordering is easy to do as always. I have noticed a huge increase in the price of books. Orders are smaller because of this. Parents cannot afford to purchase what they see as an extra...even though teachers know how important that is. Fewer children are getting books in their hands because of the increased expense.,,My biggest concern is the increase in the cost of books. Scholastic is no longer the value it once was in providing books for students.,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828180004_2109
12/29/2022 14:31,Very Satisfied,71832206_2022_08_1,,,,,,,,,Accurate and timely,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828248114_6717
12/29/2022 14:19,Very Dissatisfied,71823537_2022_04_y,,,,,,,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828509183_23604
12/29/2022 14:16,Very Satisfied,71825971_2022_03_s,,,,,,,,,Easy online ordering and fast shipping.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828192712_2521
12/29/2022 14:15,Very Satisfied,71833466_2022_08_1,,,,,,,,,It was very quick and nothing was damaged.,I have always been happy to work with Scholastic. I have used the point system to get hundreds of books in the hands of kids. I buy books for use in my classroom and use the points for birthday and Christmas gifts.,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828216269_4490
12/29/2022 13:18,Somewhat Dissatisfied,71852780_2022_04_y,,My items are damaged.,,Damaged Items,,,,One hardcover book was damaged when it arrived.,,,Yes,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828291924_10065
12/29/2022 13:04,Very Satisfied,71830566_2022_03_l,,,,,,,,,Books were delivered very timely. Parents were able to order online easily.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828439966_19068
12/29/2022 12:05,Very Dissatisfied,71824499_2022_08_1,,,,,,,,"The shipping experience was disappointing.  When I placed my order, it appeared the books would arrive before our winter break.  They didn't arrive in time and I had families who were expecting the books for Christmas presents. The five dollar credit doesn't seem like enough to make this up to families. Scholastic continues to disappoint me and I am a little nervous to even put out another book order to families this year.",,,No,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828334266_12598
12/29/2022 10:49,Very Satisfied,71768402_2022_04_k,,,,,,,,,My order arrived in a timely manner.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828313211_11367
12/29/2022 10:44,Very Satisfied,71837777_2022_04_x,,,,,,,,,"The ordering process was simple and easy to understand, and shipping was quicker than anticipated.",,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828385822_15957
12/29/2022 10:25,Somewhat Dissatisfied,71840751_2022_03_k,,,,,,,,"It’s ironic to me that this company is obviously geared towards teachers, etc…yet I get notifications that my delivery could not be made on several shipments. When I check the time stamp, it appears to be delivered in the late afternoon or evening. What school is ever open then?? I just find this frustrating…",,"It’d be nice to get the shipment early in the day, since that’s when schools are typically open",No,Yes,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828331011_12256
12/29/2022 9:52,Satisfied,71819479_2022_04_x,,,,,,,,,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828368467_14594
12/29/2022 9:00,Very Satisfied,71879859_2022_04_j,,,,,,,,,Very easy ordering process and fast delivery.,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828518031_24172
12/29/2022 8:58,Very Satisfied,71812803_2022_04_k,,,,,,,,,Quick Delivery with updates,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828437851_18648
12/29/2022 8:39,Very Satisfied,71846920_2022_04_j,,,,,,,,,"I was concerned that I wouldn't receive some of my books before we left for the Winter Break, as one of my parents gave me a check, but Scholastic sent everything that was ordered.  Excellent job!  You really picked up the ""Covid 19"" pieces and brought Scholastic back to it's pre-Covid efficiency, and I am truly grateful!","Just, ""Thank you"" for a job well done!!!",No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828236359_5835
12/29/2022 7:59,Satisfied,71803536_2022_04_x,,,,,,,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193753_3012
12/29/2022 7:50,Somewhat Dissatisfied,71843243_2022_04_k,,,,,,,,"The box got lost in shipping and arrived 2 weeks later than expected.  This was not in Scholastic's control, but a credit was issued anyway.  Thank you!",,"The box got lost in shipping and arrived 2 weeks later than expected.  This was not in Scholastic's control, but a credit was issued anyway.  Thank you!",No,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828216565_4605
12/29/2022 7:46,Very Satisfied,71848864_2022_03_y,,,,,,,,,Items were in stock and a quick and accurate delivery.  I also was informed of the ETA of delivery.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161879_1163
12/29/2022 5:59,Somewhat Dissatisfied,71832888_2022_04_j,,,,,,,,More accurate shipping status,,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828510954_23773
12/28/2022 23:13,Satisfied,71841034_2022_04_j,,,,,,,,Faster delivery,,,No,No,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828314673_11570
12/28/2022 22:12,Very Satisfied,71820642_2022_04_j,,,,,,,,,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828382849_15647
12/28/2022 21:29,Very Satisfied,71833792_2022_08_1,,,,,,,,,Fast shipping and service,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828528755_25025
12/28/2022 21:21,Very Satisfied,71820183_2022_04_k,,,,,,,,,order came quickly and order was complete,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828473353_21135
12/28/2022 20:39,Somewhat Dissatisfied,71810918_2022_04_j,,,,,,,,Better prices for teachers and free shipping,,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828390482_16088
12/28/2022 20:26,Very Dissatisfied,71872418_2022_04_j,,,,,,,,First delivery date showed December 15 but I didn't get my order until December 24.,,,No,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828179545_1974
12/28/2022 19:53,Very Satisfied,71854771_2022_04_y,,,,,,,,,Ease of ordering and fast shipping.,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828201446_3234
12/28/2022 19:34,Very Satisfied,300133359_2022_08_1,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,,"Wrong books sent, but original order was sent quickly","Order WAS incorrect, but was quickly fixed!",Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161759_1062
12/28/2022 19:16,Very Satisfied,71820187_2022_04_y,,,,,,,,,"Fast turn a round time,",,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828348424_13402
12/28/2022 18:01,Very Satisfied,71842854_2022_03_w,,,,,,,,,Quick turnaround,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828180021_2117
12/28/2022 17:50,Very Dissatisfied,71821222_2022_04_k,,,,,,,,Order books over 3 weeks ago for students to have for Christmas break. Box still has not arrived! It should have arrived 2 weeks ago.,,I will not be ordering from scholastic in the future. Service just sucks the last 2 years. Very unreliable!,No,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828314679_11574
12/28/2022 17:29,Very Satisfied,71868417_2022_04_j,,,,,,,,,,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161862_1154
12/28/2022 17:14,Very Satisfied,71752780_2022_04_m,,,,,,,,,I received an email when it shipped and the whole shipping process has never taken more than 10 business day from order to delivery.,,No,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828510908_23743
12/28/2022 17:06,Very Satisfied,71851387_2022_03_x,,,,,,,,,Items were delivered in a timely manner.,"I was pleased with the timely delivery.  In the past it was delayed, which is understandable.",No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828461984_20601
12/28/2022 16:53,Neutral,71887055_2022_03_l,,,,,,,,Free Delivery,,,No,Yes,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142532_214
12/28/2022 16:50,Very Satisfied,71898042_2022_03_i,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,,The follow up on the item that was missing.,Thank you for helping my first graders become better readers.,Yes,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828225711_5041
12/28/2022 16:49,Very Satisfied,71842535_2022_04_k,,"I hit ""yes"" by accident. I did not have any issues with shipping.",,,,,Other,,It was shipped rather quickly considering the time of year.,,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828289511_9793
12/28/2022 16:31,Very Satisfied,71818929_2022_08_1,,,,,,,,,The speed at which the books arrived.  Thank you!,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828143043_494
12/28/2022 16:17,Very Dissatisfied,300132564_2022_01_w,,,,,,,,Receiving what I ordered in a timely manner,,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828373093_15045
12/28/2022 16:07,Very Satisfied,300134050_2022_03_9,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,,fast delivery,,Yes,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142229_85
12/28/2022 16:00,Somewhat Dissatisfied,71837198_2022_03_n,,,,,,,,Delivery within time frame stated from Scholastic,,Help from Scholastic help desk was nonexistent,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828143246_743
12/28/2022 15:20,Somewhat Dissatisfied,71845921_2022_01_6,,,,,,,,On time delivery,,,No,No,No,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828493853_22457
12/28/2022 14:44,Very Dissatisfied,71811076_2022_04_x,,"My order was delivered late,My items are damaged.",,Damaged Items,,,,"From order to delivery took more than 3 weeks. When I received the box, the box was packed very poorly and the books were bent, rolled and unpresentable.",,Very disappointed in this shipment. I felt horrible giving these books to families that they paid for,Yes,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828414328_17588
12/28/2022 14:44,Very Dissatisfied,71811076_2022_04_x,,"My order was delivered late,My items are damaged.",,,,Delivered Late,,"From order to delivery took more than 3 weeks. When I received the box, the box was packed very poorly and the books were bent, rolled and unpresentable.",,Very disappointed in this shipment. I felt horrible giving these books to families that they paid for,Yes,No,No,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828414328_17588
12/28/2022 14:40,Very Satisfied,71815897_2022_04_x,,,,,,,,,Speed delivery,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828215014_4231
12/28/2022 14:11,Neutral,71865074_2022_04_k,,"My items are damaged.,Only one book was bent, but it was mine, so I am not worried.",,Damaged Items,,,,"The book order and delivery went well. One book was slightly bent, but it was mine, so I didn't worry.  This order was good, but I don't like receiving so many emails from you guys about everything. I get an email every other day from someone either selling something or wanting me to review something.",,"This survey just asked if I was ""Conveniently able to track my shipment.""  I clicked ""yes,"" but I have no idea if I could have easily tracked it. It should have an option saying, ""I didn't attempt to track my shipment."" I could have just as easily hit ""no"" on that question since I didn't track it.",Yes,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828511349_23937
12/28/2022 13:57,Very Satisfied,71851066_2022_03_a,,,,,,,,,"Timing of the books, arrived on time in great condition.",Wonderful for my classroom holiday gift for my kiddos ♥️,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828517976_24135
12/28/2022 13:53,Very Satisfied,71818950_2022_04_k,,,,,,,,,Easy to order both student orders and teacher orders. Parent on-line ordering is very helpful!,I have been ordering books from Scholastic for over 20 years.  I am always impressed with the selection of both classic and new material.  It is also much easier for both parents to order directly and me to send my own order. Thank you for the commitment to get reading material into homes at a reasonable price!,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828161816_1119
12/28/2022 13:41,Very Satisfied,71810095_2022_01_o,,,,,,,,,It was delivered quickly.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142512_208
12/28/2022 13:41,Somewhat Dissatisfied,71843921_2022_03_i,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,We are missing a book from our last order and not sure who to contact to fix the issue.,,,Yes,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828518056_24189
12/28/2022 13:20,Neutral,71851901_2022_08_1,,,,,,,,Finding the readers was a little hard.,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828346006_13091
12/28/2022 13:11,Very Dissatisfied,71817435_2022_04_y,,,,,,,,,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828291846_10015
12/28/2022 13:00,Satisfied,71819640_2022_08_1,,,,,,,,,,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828204404_3435
12/28/2022 12:56,Very Satisfied,71824751_2022_08_1,,,,,,,,,Getting books quickly and spending points earned.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828237926_6007
12/28/2022 11:54,Very Satisfied,71832075_2022_04_x,,,,,,,,,Easy to do online.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828181379_2340
12/28/2022 11:50,Very Satisfied,300133579_2022_02_i,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,,"My shipment arrived on time.  It was nice being able to use my reward points on value pack books for my students.  And when an item was missing from my order, I was sent a replacement very quickly!",I was very pleased with how easy it was to correct the mistake in my order with the missing item.,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828459564_20283
12/28/2022 11:41,Very Satisfied,71873407_2022_06_3,,,,,,,,,Speed and accuracy,,No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828216208_4515
12/28/2022 11:41,Very Satisfied,71756146_2022_04_j,,,,,,,,,Quick delivery Ease of ordering,"I like the emails that let me know when my package is on the way.   I miss having the invoice in the box.  The digital invoice in my email is nice too, but I liked having the invoice in the box so I knew how much the balance was on that order.",No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828281066_9281
12/28/2022 11:41,Satisfied,71821737_2022_03_y,,,,,,,,nothing,It was all greattttttttttttttttttttttttttttttttt,You are greatttttttttttttttttttttttttttttttttttttttttttttttt,No,No,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828142673_261
12/28/2022 11:37,Very Satisfied,71871601_2022_04_k,,My items are damaged.,,Damaged Items,,,,,"got everything as ordered, quickly","It wasn't heavy damage, just some books are bent sometimes if there is too much room in the box",Yes,Yes,Yes,Teacher Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828238587_6122
12/28/2022 11:36,Very Satisfied,71823341_2022_04_k,,,,,,,,,You have gone back to what I have always experienced with Scholastic.  The ordering has been easy.  The items arrived as expected within a timely manner.,I know it has been a very rough few years but I wanted to let you know that you have gone back to preCovid Scholastic. I am so pleased to be a valued customer.,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193647_2815
12/28/2022 11:32,Very Satisfied,71812550_2022_04_k,,,,,,,,,Easy,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828330886_12203
12/28/2022 10:55,Very Satisfied,71829100_2022_04_k,,,,,,,,,It's always what I order and delivered with promptness.,,No,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828294552_10225
12/28/2022 10:53,Very Satisfied,71821537_2022_03_a,,,,,,,,,The ordering process was easy for families and the books came in good time.,"For books shipped to school, there used to be ""tear away"" lists for each kid's books. This made separating the orders easier. The box did contain a shipping list, with names of students and books, but the ""tear away"" list was nice to keep with the order once sorted.",No,Yes,Yes,Parent Home Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828193568_2800
12/28/2022 10:40,Very Satisfied,71845576_2022_03_9,,My order has incorrect items and/or missing items.,"Incorrect, Duplicate, and/or Missing Items",,,,,,"My order came very quickly, which was great.  It was missing three books.  I called and the customer service rep was so pleasant and helpful.  The remaining three books arrived in a very timely manner.",,Yes,Yes,Yes,Teacher School Shipment,https://scholasticnso.satmetrix.com/app/core/main/home.jsp#actions/1671828190986_2420
